,open,high,low,close,adjclose,volume,ticker
1996-01-01,3.0299999713897705,3.0299999713897705,2.924999952316284,2.9800000190734863,2.3899576663970947,350000.0,HDFCBANK.NS
1996-01-02,2.9800000190734863,3.0250000953674316,2.950000047683716,2.9749999046325684,2.3859474658966064,412000.0,HDFCBANK.NS
1996-01-03,2.9749999046325684,2.994999885559082,2.950000047683716,2.984999895095825,2.393967390060425,284000.0,HDFCBANK.NS
1996-01-04,2.984999895095825,2.9800000190734863,2.940000057220459,2.9649999141693115,2.377927541732788,282000.0,HDFCBANK.NS
1996-01-05,2.9649999141693115,2.9800000190734863,2.950000047683716,2.9600000381469727,2.373918056488037,189000.0,HDFCBANK.NS
1996-01-08,2.9600000381469727,2.950000047683716,2.9100000858306885,2.924999952316284,2.3458473682403564,237000.0,HDFCBANK.NS
1996-01-09,2.924999952316284,2.924999952316284,2.799999952316284,2.8299999237060547,2.269657850265503,483000.0,HDFCBANK.NS
1996-01-10,2.8299999237060547,2.865000009536743,2.809999942779541,2.8399999141693115,2.2776780128479004,226000.0,HDFCBANK.NS
1996-01-11,2.8399999141693115,2.880000114440918,2.799999952316284,2.8299999237060547,2.269657850265503,318000.0,HDFCBANK.NS
1996-01-12,2.8299999237060547,2.8350000381469727,2.799999952316284,2.825000047683716,2.265648365020752,431000.0,HDFCBANK.NS
1996-01-15,2.825000047683716,2.815000057220459,2.7750000953674316,2.7899999618530273,2.2375776767730713,181000.0,HDFCBANK.NS
1996-01-16,2.7899999618530273,2.799999952316284,2.740000009536743,2.740000009536743,2.1974780559539795,358000.0,HDFCBANK.NS
1996-01-17,2.740000009536743,2.7950000762939453,2.630000114440918,2.6549999713897705,2.129307270050049,429000.0,HDFCBANK.NS
1996-01-18,2.6549999713897705,2.6549999713897705,2.5999999046325684,2.640000104904175,2.1172780990600586,330000.0,HDFCBANK.NS
1996-01-19,2.640000104904175,2.630000114440918,2.5350000858306885,2.555000066757202,2.049107551574707,426000.0,HDFCBANK.NS
1996-01-22,2.555000066757202,2.5899999141693115,2.5199999809265137,2.5450000762939453,2.041088342666626,359000.0,HDFCBANK.NS
1996-01-23,2.5450000762939453,2.5999999046325684,2.509999990463257,2.5299999713897705,2.029057741165161,399000.0,HDFCBANK.NS
1996-01-24,2.5299999713897705,2.5299999713897705,2.450000047683716,2.4649999141693115,1.9769277572631836,449000.0,HDFCBANK.NS
1996-01-25,2.4649999141693115,2.450000047683716,2.4100000858306885,2.434999942779541,1.9528684616088867,390000.0,HDFCBANK.NS
1996-01-26,2.434999942779541,2.434999942779541,2.434999942779541,2.434999942779541,1.9528684616088867,0.0,HDFCBANK.NS
1996-01-29,2.434999942779541,2.494999885559082,2.3949999809265137,2.484999895095825,1.9929680824279785,311000.0,HDFCBANK.NS
1996-01-30,2.484999895095825,2.549999952316284,2.484999895095825,2.5199999809265137,2.0210378170013428,452000.0,HDFCBANK.NS
1996-01-31,2.5199999809265137,2.634999990463257,2.549999952316284,2.5899999141693115,2.0771775245666504,344000.0,HDFCBANK.NS
1996-02-01,2.5899999141693115,2.799999952316284,2.5999999046325684,2.7799999713897705,2.229557991027832,424000.0,HDFCBANK.NS
